sale_date,sale_price,square_ft,lat,long
1/26/18,257000,970,33.7200572,-84.4155226
1/26/18,211100,1772,33.7073447,-84.3981622
1/26/18,518349,3100,34.0487435,-84.1561885
1/26/18,448000,2220,33.833729,-84.357578
1/26/18,434900,1392,33.759577,-84.3669653
1/26/18,365000,2552,34.0276039,-84.354892
1/26/18,162000,744,33.7647805,-84.3835707
1/26/18,240000,1642,34.1033714,-84.2587455
1/26/18,339000,1988,34.0978829,-84.2597947
1/26/18,950000,2642,33.8303734,-84.3713113
1/26/18,799000,1350,33.7927855,-84.3556632
1/26/18,237500,1264,33.8336521,-84.3570868
1/26/18,387000,2107,34.0570179,-84.3322037
1/26/18,141000,950,33.989188,-84.267428
1/26/18,197110,2554,33.5640742,-84.6181708
1/26/18,350000,1621,34.0562873,-84.3734672
1/26/18,157140,1205,33.68239076,-84.43138627
1/26/18,273250,2629,33.6852819,-84.435093
1/26/18,270000,1792,34.1080678,-84.266295
1/26/18,139900,1695,33.701608,-84.545541
1/26/18,815000,2900,33.7983899,-84.3612493
1/26/18,585000,3900,34.1857302,-84.3124001
1/26/18,1187500,3675,33.8349949,-84.4463389
1/26/18,595000,3739,33.9768868,-84.3016432
1/26/18,665000,4044,33.9971381,-84.3121058
1/26/18,223295,2818,33.6231076,-84.5514366
1/26/18,187362,2146,33.6204654,-84.5518051
1/26/18,344000,1722,33.7271186,-84.3496246
1/26/18,390000,1987,33.9355309,-84.3710033
1/26/18,1088500,4491,33.7960473,-84.3866885
1/26/18,197500,1474,33.685901,-84.4585935
